strategy,rebalance_date,train_start,train_end,feature,rule,direction,q25,q75,val_sharpe,val_expectancy,train_sharpe,train_expectancy,train_obs
call_ratio_spread,2019-06-19,2016-11-07,2019-06-17,SPX_lrv,q75_momentum,1,0.7518271195058406,3.964052833625482,2.611072009306598,0.027866698165151062,-2.030704198268787,-0.03716639450539965,253
call_ratio_spread,2019-09-03,2017-01-11,2019-08-30,slope_dn,q25_reversion,-1,5.137796372372637,7.433476068016896,5.998031290577652,0.053200333437260584,0.3844076590514232,0.005174772092183128,255
call_ratio_spread,2019-11-27,2017-05-03,2019-11-18,weekday,q25_reversion,-1,0.0,4.0,3.856398490280503,0.02981832715408074,1.2778240285809779,0.013963337517290857,283
call_ratio_spread,2020-02-26,2017-08-21,2020-02-24,weekday,q75_momentum,-1,0.0,4.0,4.166893785633859,0.04927941695652244,0.294426136185846,0.003453425166156888,305
call_ratio_spread,2020-04-13,2017-12-01,2020-04-09,overnight_gap,q25_reversion,-1,-0.0015716102467170613,0.0030660188233852703,3.3652604058282223,0.12445644558103792,2.5869007120810252,0.04396265388264027,255
call_ratio_spread,2020-06-10,2018-02-12,2020-06-08,overnight_gap,q75_momentum,1,-0.0015290811314413494,0.003270243627085216,4.865571164665914,0.12775403339337288,0.13518395556810986,0.0014906765779089362,252
call_ratio_spread,2020-08-12,2018-04-06,2020-08-03,reversion_z20,q75_momentum,1,-0.6989587588692974,1.4443851365853237,3.366222511844671,0.04041741993124903,-1.230035855330098,-0.009685449779610805,255
call_ratio_spread,2020-10-09,2018-07-23,2020-10-07,reversion_z20,q75_momentum,1,-0.6672344940196521,1.4328556919200428,3.1933548840790205,0.0360518069635701,-0.9882527991908225,-0.00810573389087588,255
call_ratio_spread,2020-12-14,2018-09-26,2020-12-04,mom_5d,q25_reversion,-1,-0.012593481498100245,0.01850859999265375,3.05949496508362,0.03535602064735251,1.4835663997020003,0.03886809658743077,255
call_ratio_spread,2021-03-03,2018-11-30,2021-02-26,vix,q75_momentum,-1,2.4096258952010697e-05,0.0001336209532610543,3.0238612207468716,0.0343243104579703,1.2270277218613705,0.033293010433010486,255
call_ratio_spread,2021-05-14,2019-02-01,2021-05-12,mom_5d,q75_momentum,1,-0.01013696008591558,0.018625114942517507,4.077120123298182,0.0379345273649954,0.09967693387726978,0.0012200985543666747,252
call_ratio_spread,2021-08-02,2019-04-05,2021-07-28,mom_5d,q75_momentum,1,-0.01013696008591558,0.01850859999265375,3.7227455225319592,0.027644390147246272,0.42945704692021774,0.005454555645070347,254
call_ratio_spread,2021-10-08,2019-06-19,2021-10-01,SPX_lret,q25_reversion,1,-0.004179618729890035,0.004491811760381388,4.186355582342714,0.0483081291502539,-0.6096455411619374,-0.01281053641232417,255
call_ratio_spread,2021-12-13,2019-09-03,2021-12-10,mom_5d,q75_momentum,1,-0.008882254698591718,0.018554481638980658,2.468645839397889,0.010386359269482339,1.2368820435740095,0.015839081291279495,254
call_ratio_spread,2022-02-11,2019-11-27,2022-02-07,reversion_z20,q25_reversion,-1,-0.11608557901989508,1.4839583128167084,3.132715629034885,0.07020911374491999,0.6210162780384849,0.015042913185422868,253
call_ratio_spread,2022-04-06,2020-02-26,2022-04-01,mom_5d,q25_reversion,-1,-0.008497945051098132,0.018196770530108264,4.2232150817886644,0.09667550050907087,0.27064070315167327,0.006460364209907596,255
call_ratio_spread,2022-05-19,2020-04-13,2022-05-18,SPX_lrv_skew,q25_reversion,-1,-0.41257144753858344,0.17284223018817796,4.439357400020848,0.09710271669715329,-1.0643648211328565,-0.014370626924079673,255
call_ratio_spread,2022-06-27,2020-06-10,2022-06-24,slope_up,q25_reversion,1,-3.0320578410387,1.0069298071409993,3.9616904759652347,0.05537135326287769,-0.4404093357210103,-0.0063170582438070895,255
call_ratio_spread,2022-08-02,2020-08-12,2022-07-29,SPX_lrv_skew,q75_momentum,1,-0.3794846319047904,0.17434227370023533,5.405432371998818,0.11226853865642784,0.5896934789753743,0.007883766279708005,255
call_ratio_spread,2022-09-20,2020-10-09,2022-09-19,slope_up,q25_reversion,1,-2.79035458279238,1.0177123053090857,2.8153972668555305,0.03587342540287412,-0.08266623647143008,-0.0013142020797181127,255
call_ratio_spread,2022-10-19,2020-12-14,2022-10-18,isk,q75_momentum,-1,-2.0044225943251833e-05,-4.540874674642822e-06,3.645728759764558,0.05179624842458266,0.8382825171095644,0.009107820565176991,250
call_ratio_spread,2022-11-23,2021-03-03,2022-11-21,vix,q75_momentum,-1,3.4145086739867926e-05,0.00014435176650325722,2.2651201485723393,0.05701633194656316,0.3973938785512335,0.006925864302291755,250
call_ratio_spread,2023-01-03,2021-05-14,2022-12-30,vix,q75_momentum,-1,4.4404889651827485e-05,0.00016235910150169818,3.191556587899316,0.08137658847844044,0.27697974527633296,0.004754325139560665,250
call_ratio_spread,2023-03-16,2021-08-02,2023-03-15,weekday,q25_reversion,-1,1.0,4.0,2.869120729543514,0.04595027231401608,0.9088441598544301,0.014548911203312085,368
call_ratio_spread,2023-05-08,2021-10-08,2023-05-03,price_vs_ma20,q75_momentum,1,-0.032541782534955876,0.020652172672478875,3.809466892836858,0.05781346094875823,-0.4010518507178378,-0.004973134589953297,255
call_ratio_spread,2023-06-23,2021-12-13,2023-06-21,SPX_lret,q25_reversion,-1,-0.008335150955719073,0.00796342502007042,2.1977345506721377,0.01604866768924731,0.8326289363516424,0.012967690496535749,255
call_ratio_spread,2023-08-08,2022-02-11,2023-08-07,SPX_lret,q25_reversion,-1,-0.0082570759997259,0.00801616116639859,2.013354702745832,0.007829350642957202,0.16131352827801057,0.002304723383178153,255
call_ratio_spread,2023-09-15,2022-04-06,2023-09-14,weekday,q25_reversion,1,1.0,3.0,5.058510686484918,0.06340218728844134,-1.6019979728921,-0.02555769769277057,398
call_ratio_spread,2023-10-24,2022-05-19,2023-10-23,SPX_lrv,q25_reversion,-1,3.103497515574154,10.226449785976536,5.308990716583806,0.06784501545823864,0.2301871443157745,0.002545255495247017,253
call_ratio_spread,2023-12-04,2022-06-27,2023-12-01,mom_5d,q25_reversion,-1,-0.01583131349918987,0.017273274823610407,4.641105877228491,0.04244385117933961,0.3044795547237564,0.005219984116057228,255
call_ratio_spread,2024-01-19,2022-08-02,2024-01-17,weekday,q25_reversion,1,1.0,3.0,5.607130575272117,0.06583884263157551,-0.646130958284099,-0.009433130956896258,405
call_ratio_spread,2024-03-12,2022-09-20,2024-03-11,weekday,q25_reversion,1,1.0,3.0,3.3070962593194144,0.031026164472379048,0.24761062218088675,0.0036357732422955917,420
call_ratio_spread,2024-04-19,2022-10-19,2024-04-18,price_vs_ma20,q25_reversion,-1,-0.007771648964157718,0.023582246914079175,3.592777330918252,0.024771914427907823,0.5218892238189513,0.006605339270720984,255
iron_condor,2019-04-05,2016-09-06,2019-04-03,price_vs_ma20,q25_reversion,-1,-0.002859033968391156,0.013344654068471629,5.471034400407355,0.040772569892437674,0.3807437538933479,0.0024827915950194333,202
iron_condor,2019-06-19,2016-11-07,2019-06-17,slope_dn,q25_reversion,1,5.35432298102494,7.560351424613595,5.393588107330643,0.05205683475080316,-2.8494493244940604,-0.01951472953858298,202
iron_condor,2019-09-03,2017-01-11,2019-08-30,slope_dn,q25_reversion,1,5.137796372372637,7.433476068016896,6.70413955213249,0.05060361651436358,-2.1717893120210237,-0.015739451335512154,204
